Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974714b,Male,7,ToM1 Eyes,106360,706,8,1,1,1,2,9303,0,0,0,0,0,0
974702,Male,6,ToM2 Ball,164450,1459,41,1,1,1,3,164450,1531,43,1,1,3,5
974705,Female,6,ToM2 Ball,163602,1142,32,1,1,1,4,164644,1078,30,1,1,3,4
974706,Male,8,ToM2 Ball,163684,1667,46,1,1,1,4,163684,895,25,1,1,3,3
974706,Female,8,ToM2 Ball,163684,1667,46,1,1,1,4,163684,895,25,1,1,3,3
974707,Male,7,ToM2 Ball,163591,2073,58,1,1,1,4,164606,2141,59,1,1,2,5
974708,Male,10,ToM2 Ball,164589,2088,58,1,1,1,3,164589,1685,47,1,1,5,8
974709,Male,8,ToM2 Ball,164560,2114,59,1,1,1,3,164691,1617,45,1,1,3,6
974710,Male,6,ToM2 Ball,163599,2176,60,1,1,1,5,164669,901,25,1,1,4,4
974711,Female,6,ToM2 Ball,163575,2370,66,1,1,1,5,164549,1278,36,1,1,3,5
974711,Female,6,ToM2 Ball,163575,2370,66,1,1,1,5,164549,1278,36,1,1,3,5
974712,Male,8,ToM2 Ball,164533,1798,50,1,1,1,3,164568,249,7,1,1,2,2
974716,Male,11,ToM2 Ball,164646,1411,39,1,1,1,3,164646,1736,48,1,1,3,7
974718,Male,11,ToM2 Ball,164579,1110,31,1,1,1,4,164579,361,10,1,1,2,2
974719,Male,8,ToM2 Ball,163582,1702,47,1,1,1,3,163681,1187,33,1,1,6,6
974720,Male,7,ToM2 Ball,166212,958,27,1,0,1,0,166255,544,15,0,1,0,2
974721,Male,8,ToM2 Ball,163579,1481,41,1,1,1,5,164698,1108,31,1,1,4,8
974722,Male,11,ToM2 Ball,165102,553,15,1,1,1,2,165172,689,19,1,1,3,4
974723,Male,6,ToM2 Ball,164573,1311,36,1,1,1,2,164573,1007,28,1,1,3,5
